date,category,amount,type,signed_amount
2020-01-02,Food & Drink,1485.69,Expense,-1485.69
2020-01-02,Utilities,1475.58,Expense,-1475.58
2020-01-04,Rent,1185.08,Expense,-1185.08
2020-01-05,Investment,2291.0,Income,2291.0
2020-01-13,Food & Drink,1126.88,Expense,-1126.88
2020-01-14,Shopping,448.68,Expense,-448.68
2020-01-18,Food & Drink,1520.03,Expense,-1520.03
2020-01-19,Other,3287.0,Income,3287.0
2020-01-21,Entertainment,1914.85,Expense,-1914.85
2020-01-25,Rent,766.06,Expense,-766.06
2020-01-25,Health & Fitness,1211.41,Expense,-1211.41
2020-01-26,Salary,1077.09,Expense,-1077.09
2020-01-29,Shopping,166.81,Expense,-166.81
2020-01-30,Health & Fitness,1158.93,Expense,-1158.93
2020-01-31,Food & Drink,1325.91,Expense,-1325.91
2020-01-31,Rent,1712.08,Expense,-1712.08
2020-01-31,Shopping,563.17,Expense,-563.17
2020-02-02,Health & Fitness,333.68,Expense,-333.68
2020-02-04,Travel,1406.62,Expense,-1406.62
2020-02-05,Rent,1222.17,Expense,-1222.17
2020-02-05,Investment,1838.0,Income,1838.0
2020-02-07,Travel,1979.15,Expense,-1979.15
2020-02-07,Entertainment,1372.38,Expense,-1372.38
2020-02-08,Food & Drink,465.81,Expense,-465.81
2020-02-08,Other,3786.0,Income,3466.7799999999997
2020-02-09,Entertainment,1827.14,Expense,-1827.14
2020-02-11,Health & Fitness,433.13,Expense,-433.13
2020-02-13,Salary,294.31,Expense,-294.31
2020-02-15,Other,4009.0,Income,3466.7799999999997
2020-02-16,Shopping,730.37,Expense,-730.37
2020-02-16,Utilities,1023.96,Expense,-1023.96
2020-02-18,Investment,1398.0,Income,1398.0
2020-02-19,Investment,3958.0,Income,3466.7799999999997
2020-02-20,Shopping,769.42,Expense,-769.42
2020-02-26,Travel,1942.45,Expense,-1942.45
2020-02-27,Food & Drink,1363.76,Expense,-1363.76
2020-02-28,Other,3286.0,Income,3286.0
2020-02-28,Other,1795.0,Income,1795.0
2020-02-29,Travel,1944.06,Expense,-1944.06
2020-03-03,Rent,1742.33,Expense,-1742.33
2020-03-04,Entertainment,314.15,Expense,-314.15
2020-03-04,Food & Drink,1201.9,Expense,-1201.9
2020-03-09,Rent,1858.91,Expense,-1858.91
2020-03-09,Travel,486.51,Expense,-486.51
2020-03-11,Rent,180.45,Expense,-180.45
2020-03-11,Rent,1956.19,Expense,-1956.19
2020-03-12,Utilities,265.5,Expense,-265.5
2020-03-12,Utilities,537.46,Expense,-537.46
2020-03-14,Shopping,1929.08,Expense,-1929.08
2020-03-15,Entertainment,1428.77,Expense,-1428.77
2020-03-18,Health & Fitness,881.82,Expense,-881.82
2020-03-21,Rent,503.33,Expense,-503.33
2020-03-23,Investment,2385.0,Income,2385.0
2020-03-23,Food & Drink,151.28,Expense,-151.28
2020-03-24,Entertainment,144.13,Expense,-144.13
2020-03-28,Other,1080.0,Income,1080.0
2020-04-01,Travel,1341.27,Expense,-1341.27
2020-04-05,Utilities,1449.47,Expense,-1449.47
2020-04-06,Salary,493.56,Expense,-493.56
2020-04-06,Shopping,388.92,Expense,-388.92
2020-04-10,Other,3402.0,Income,3402.0
2020-04-17,Salary,1729.04,Expense,-1729.04
2020-04-17,Investment,996.0,Income,996.0
2020-04-18,Health & Fitness,1603.18,Expense,-1603.18
2020-04-22,Investment,2058.0,Income,2058.0
2020-04-23,Utilities,849.54,Expense,-849.54
2020-04-25,Entertainment,1750.23,Expense,-1750.23
2020-04-26,Investment,914.0,Income,914.0
2020-04-26,Food & Drink,1938.3,Expense,-1938.3
2020-04-27,Entertainment,340.96,Expense,-340.96
2020-04-27,Entertainment,1730.65,Expense,-1730.65
2020-04-29,Utilities,764.16,Expense,-764.16
2020-04-30,Travel,1853.77,Expense,-1853.77
2020-05-01,Travel,851.78,Expense,-851.78
2020-05-03,Salary,318.05,Expense,-318.05
2020-05-03,Food & Drink,1162.57,Expense,-1162.57
2020-05-05,Health & Fitness,123.76,Expense,-123.76
2020-05-06,Utilities,123.19,Expense,-123.19
2020-05-06,Utilities,146.36,Expense,-146.36
2020-05-07,Investment,3807.0,Income,3466.7799999999997
2020-05-11,Investment,825.0,Income,825.0
2020-05-12,Shopping,1318.17,Expense,-1318.17
2020-05-13,Health & Fitness,1870.07,Expense,-1870.07
2020-05-14,Health & Fitness,484.99,Expense,-484.99
2020-05-15,Travel,919.88,Expense,-919.88
2020-05-16,Rent,28.54,Expense,-28.54
2020-05-17,Rent,155.79,Expense,-155.79
2020-05-19,Travel,273.59,Expense,-273.59
2020-05-20,Rent,1759.75,Expense,-1759.75
2020-05-21,Utilities,881.99,Expense,-881.99
2020-05-25,Travel,1227.24,Expense,-1227.24
2020-05-27,Food & Drink,1339.05,Expense,-1339.05
2020-05-28,Rent,1878.47,Expense,-1878.47
2020-05-29,Investment,1376.0,Income,1376.0
2020-05-30,Utilities,551.97,Expense,-551.97
2020-05-31,Health & Fitness,415.16,Expense,-415.16
2020-05-31,Travel,1015.76,Expense,-1015.76
2020-06-01,Food & Drink,193.67,Expense,-193.67
2020-06-02,Travel,97.73,Expense,-97.73
2020-06-05,Utilities,1277.86,Expense,-1277.86
2020-06-06,Salary,1107.84,Expense,-1107.84
2020-06-07,Food & Drink,232.63,Expense,-232.63
2020-06-08,Utilities,1095.72,Expense,-1095.72
2020-06-09,Utilities,865.28,Expense,-865.28
2020-06-09,Other,826.0,Income,826.0
2020-06-10,Entertainment,1367.31,Expense,-1367.31
2020-06-10,Health & Fitness,1562.43,Expense,-1562.43
2020-06-11,Shopping,1947.94,Expense,-1947.94
2020-06-11,Entertainment,1730.57,Expense,-1730.57
2020-06-12,Utilities,1764.02,Expense,-1764.02
2020-06-14,Other,3872.0,Income,3466.7799999999997
2020-06-15,Entertainment,540.94,Expense,-540.94
2020-06-18,Rent,771.26,Expense,-771.26
2020-06-18,Other,2322.0,Income,2322.0
2020-06-18,Other,3364.0,Income,3364.0
2020-06-19,Entertainment,453.62,Expense,-453.62
2020-06-19,Shopping,663.24,Expense,-663.24
2020-06-21,Travel,708.78,Expense,-708.78
2020-06-21,Health & Fitness,1879.08,Expense,-1879.08
2020-06-22,Other,1962.0,Income,1962.0
2020-06-22,Travel,86.13,Expense,-86.13
2020-06-24,Health & Fitness,1459.8,Expense,-1459.8
2020-06-30,Rent,776.54,Expense,-776.54
2020-06-30,Travel,98.33,Expense,-98.33
2020-07-02,Entertainment,734.8,Expense,-734.8
2020-07-03,Other,3071.0,Income,3071.0
2020-07-04,Rent,1442.31,Expense,-1442.31
2020-07-05,Travel,1337.12,Expense,-1337.12
2020-07-06,Travel,1113.28,Expense,-1113.28
2020-07-06,Other,1925.0,Income,1925.0
2020-07-08,Travel,818.09,Expense,-818.09
2020-07-11,Travel,580.96,Expense,-580.96
2020-07-12,Health & Fitness,935.33,Expense,-935.33
2020-07-12,Entertainment,1027.24,Expense,-1027.24
2020-07-13,Utilities,1321.11,Expense,-1321.11
2020-07-17,Health & Fitness,195.84,Expense,-195.84
2020-07-20,Entertainment,1348.86,Expense,-1348.86
2020-07-21,Entertainment,303.23,Expense,-303.23
2020-07-21,Other,1096.0,Income,1096.0
2020-07-22,Entertainment,1439.51,Expense,-1439.51
2020-07-22,Shopping,495.53,Expense,-495.53
2020-07-22,Food & Drink,1786.39,Expense,-1786.39
2020-07-23,Rent,1559.06,Expense,-1559.06
2020-07-24,Salary,109.93,Expense,-109.93
2020-07-28,Rent,918.36,Expense,-918.36
2020-07-28,Health & Fitness,1900.58,Expense,-1900.58
2020-07-29,Shopping,1662.83,Expense,-1662.83
2020-07-30,Utilities,1489.87,Expense,-1489.87
2020-07-31,Travel,1506.04,Expense,-1506.04
2020-08-01,Travel,1533.97,Expense,-1533.97
2020-08-01,Entertainment,556.45,Expense,-556.45
2020-08-01,Other,2420.0,Income,2420.0
2020-08-02,Health & Fitness,1787.12,Expense,-1787.12
2020-08-03,Investment,2394.0,Income,2394.0
2020-08-04,Utilities,1415.77,Expense,-1415.77
2020-08-04,Other,3210.0,Income,3210.0
2020-08-04,Shopping,133.91,Expense,-133.91
2020-08-05,Shopping,1810.63,Expense,-1810.63
2020-08-05,Food & Drink,1714.9,Expense,-1714.9
2020-08-06,Shopping,959.19,Expense,-959.19
2020-08-08,Travel,1509.42,Expense,-1509.42
2020-08-08,Shopping,1081.06,Expense,-1081.06
2020-08-09,Entertainment,981.58,Expense,-981.58
2020-08-13,Salary,67.76,Expense,-67.76
2020-08-14,Shopping,1451.12,Expense,-1451.12
2020-08-16,Utilities,1961.64,Expense,-1961.64
2020-08-17,Shopping,1187.87,Expense,-1187.87
2020-08-18,Rent,1289.07,Expense,-1289.07
2020-08-19,Other,1988.0,Income,1988.0
2020-08-20,Other,3181.0,Income,3181.0
2020-08-21,Health & Fitness,681.63,Expense,-681.63
2020-08-21,Travel,1506.5,Expense,-1506.5
2020-08-22,Travel,1671.47,Expense,-1671.47
2020-08-22,Food & Drink,1999.82,Expense,-1999.82
2020-08-26,Rent,1564.65,Expense,-1564.65
2020-08-27,Food & Drink,1899.73,Expense,-1899.73
2020-08-27,Investment,1748.0,Income,1748.0
2020-08-29,Salary,1342.22,Expense,-1342.22
2020-08-30,Entertainment,935.42,Expense,-935.42
2020-08-31,Health & Fitness,343.9,Expense,-343.9
2020-09-01,Rent,1557.81,Expense,-1557.81
2020-09-05,Other,1385.0,Income,1385.0
2020-09-05,Travel,1155.84,Expense,-1155.84
2020-09-06,Shopping,799.34,Expense,-799.34
2020-09-07,Rent,1188.27,Expense,-1188.27
2020-09-08,Entertainment,212.78,Expense,-212.78
2020-09-11,Rent,1594.49,Expense,-1594.49
2020-09-11,Food & Drink,700.94,Expense,-700.94
2020-09-11,Health & Fitness,147.22,Expense,-147.22
2020-09-16,Food & Drink,1700.66,Expense,-1700.66
2020-09-17,Rent,872.71,Expense,-872.71
2020-09-17,Salary,1417.54,Expense,-1417.54
2020-09-18,Travel,1235.67,Expense,-1235.67
2020-09-18,Salary,935.1,Expense,-935.1
2020-09-22,Travel,651.39,Expense,-651.39
2020-09-22,Rent,565.07,Expense,-565.07
2020-09-22,Salary,1144.0,Expense,-1144.0
2020-09-23,Health & Fitness,67.11,Expense,-67.11
2020-09-23,Utilities,980.22,Expense,-980.22
2020-09-25,Travel,687.27,Expense,-687.27
2020-09-27,Travel,1116.02,Expense,-1116.02
2020-09-27,Entertainment,180.37,Expense,-180.37
2020-09-27,Salary,1114.8,Expense,-1114.8
2020-09-29,Salary,1295.35,Expense,-1295.35
2020-09-30,Food & Drink,195.18,Expense,-195.18
2020-10-01,Entertainment,619.35,Expense,-619.35
2020-10-03,Salary,1111.41,Expense,-1111.41
2020-10-04,Health & Fitness,710.1,Expense,-710.1
2020-10-07,Travel,510.29,Expense,-510.29
2020-10-07,Investment,3084.0,Income,3084.0
2020-10-07,Investment,2069.0,Income,2069.0
2020-10-08,Salary,560.23,Expense,-560.23
2020-10-08,Travel,1961.22,Expense,-1961.22
2020-10-10,Travel,462.69,Expense,-462.69
2020-10-10,Investment,4875.0,Income,3466.7799999999997
2020-10-10,Investment,946.0,Income,946.0
2020-10-12,Utilities,1279.36,Expense,-1279.36
2020-10-14,Rent,1746.71,Expense,-1746.71
2020-10-15,Salary,962.64,Expense,-962.64
2020-10-16,Food & Drink,512.43,Expense,-512.43
2020-10-16,Rent,1646.01,Expense,-1646.01
2020-10-16,Rent,1158.27,Expense,-1158.27
2020-10-18,Utilities,306.9,Expense,-306.9
2020-10-19,Travel,179.51,Expense,-179.51
2020-10-23,Shopping,1216.57,Expense,-1216.57
2020-10-24,Entertainment,1553.63,Expense,-1553.63
2020-10-26,Salary,601.73,Expense,-601.73
2020-10-27,Shopping,617.71,Expense,-617.71
2020-10-27,Rent,1895.7,Expense,-1895.7
2020-10-27,Entertainment,536.65,Expense,-536.65
2020-10-28,Investment,1923.0,Income,1923.0
2020-10-29,Utilities,15.32,Expense,-15.32
2020-10-30,Salary,589.61,Expense,-589.61
2020-10-31,Travel,1408.95,Expense,-1408.95
2020-11-01,Entertainment,1848.58,Expense,-1848.58
2020-11-01,Entertainment,856.03,Expense,-856.03
2020-11-02,Utilities,1817.74,Expense,-1817.74
2020-11-04,Rent,128.68,Expense,-128.68
2020-11-06,Travel,883.92,Expense,-883.92
2020-11-07,Travel,1402.47,Expense,-1402.47
2020-11-09,Salary,881.14,Expense,-881.14
2020-11-10,Shopping,1471.72,Expense,-1471.72
2020-11-10,Food & Drink,191.74,Expense,-191.74
2020-11-12,Food & Drink,1999.15,Expense,-1999.15
2020-11-12,Travel,1156.73,Expense,-1156.73
2020-11-14,Utilities,946.3,Expense,-946.3
2020-11-14,Travel,371.16,Expense,-371.16
2020-11-14,Salary,1938.42,Expense,-1938.42
2020-11-14,Shopping,673.28,Expense,-673.28
2020-11-15,Utilities,666.31,Expense,-666.31
2020-11-15,Travel,1328.54,Expense,-1328.54
2020-11-16,Food & Drink,915.1,Expense,-915.1
2020-11-16,Health & Fitness,240.68,Expense,-240.68
2020-11-17,Food & Drink,1318.74,Expense,-1318.74
2020-11-20,Shopping,117.87,Expense,-117.87
2020-11-22,Salary,1254.56,Expense,-1254.56
2020-11-23,Entertainment,541.44,Expense,-541.44
2020-11-25,Other,4089.0,Income,3466.7799999999997
2020-11-25,Salary,251.64,Expense,-251.64
2020-11-26,Entertainment,1422.47,Expense,-1422.47
2020-11-27,Food & Drink,1108.98,Expense,-1108.98
2020-11-27,Investment,4280.0,Income,3466.7799999999997
2020-11-29,Utilities,1001.77,Expense,-1001.77
2020-12-01,Travel,836.83,Expense,-836.83
2020-12-05,Salary,495.02,Expense,-495.02
2020-12-05,Shopping,389.31,Expense,-389.31
2020-12-06,Utilities,1729.41,Expense,-1729.41
2020-12-10,Shopping,686.35,Expense,-686.35
2020-12-10,Travel,1642.89,Expense,-1642.89
2020-12-11,Travel,1676.58,Expense,-1676.58
2020-12-12,Salary,1731.87,Expense,-1731.87
2020-12-13,Salary,696.8,Expense,-696.8
2020-12-14,Shopping,916.14,Expense,-916.14
2020-12-14,Entertainment,1961.74,Expense,-1961.74
2020-12-16,Shopping,474.79,Expense,-474.79
2020-12-16,Food & Drink,643.17,Expense,-643.17
2020-12-16,Shopping,778.3,Expense,-778.3
2020-12-18,Utilities,995.7,Expense,-995.7
2020-12-18,Other,1322.0,Income,1322.0
2020-12-20,Salary,208.43,Expense,-208.43
2020-12-20,Food & Drink,1447.66,Expense,-1447.66
2020-12-22,Utilities,158.91,Expense,-158.91
2020-12-23,Travel,683.74,Expense,-683.74
2020-12-23,Rent,1705.01,Expense,-1705.01
2020-12-24,Shopping,1908.74,Expense,-1908.74
2020-12-25,Salary,1746.04,Expense,-1746.04
2020-12-26,Investment,2423.0,Income,2423.0
2020-12-28,Travel,1994.88,Expense,-1994.88
2020-12-30,Shopping,1956.89,Expense,-1956.89
2020-12-31,Rent,892.92,Expense,-892.92
2021-01-01,Food & Drink,101.52,Expense,-101.52
2021-01-06,Travel,723.34,Expense,-723.34
2021-01-06,Entertainment,1067.02,Expense,-1067.02
2021-01-08,Utilities,348.27,Expense,-348.27
2021-01-10,Other,2472.0,Income,2472.0
2021-01-10,Utilities,472.06,Expense,-472.06
2021-01-11,Salary,518.1,Expense,-518.1
2021-01-12,Other,2856.0,Income,2856.0
2021-01-13,Utilities,156.99,Expense,-156.99
2021-01-13,Travel,1281.49,Expense,-1281.49
2021-01-14,Travel,919.1,Expense,-919.1
2021-01-14,Shopping,1708.14,Expense,-1708.14
2021-01-15,Other,3440.0,Income,3440.0
2021-01-15,Travel,53.66,Expense,-53.66
2021-01-17,Shopping,556.22,Expense,-556.22
2021-01-17,Food & Drink,1822.13,Expense,-1822.13
2021-01-19,Travel,1553.72,Expense,-1553.72
2021-01-20,Health & Fitness,445.82,Expense,-445.82
2021-01-24,Other,1620.0,Income,1620.0
2021-01-26,Food & Drink,624.78,Expense,-624.78
2021-01-27,Health & Fitness,1467.4,Expense,-1467.4
2021-01-27,Other,3176.0,Income,3176.0
2021-01-27,Utilities,409.58,Expense,-409.58
2021-01-27,Health & Fitness,1066.4,Expense,-1066.4
2021-01-29,Utilities,521.37,Expense,-521.37
2021-02-02,Salary,1935.09,Expense,-1935.09
2021-02-05,Health & Fitness,1610.42,Expense,-1610.42
2021-02-05,Rent,290.11,Expense,-290.11
2021-02-08,Shopping,1934.87,Expense,-1934.87
2021-02-08,Health & Fitness,189.7,Expense,-189.7
2021-02-09,Travel,1077.78,Expense,-1077.78
2021-02-09,Travel,1173.27,Expense,-1173.27
2021-02-11,Health & Fitness,225.61,Expense,-225.61
2021-02-11,Food & Drink,1242.9,Expense,-1242.9
2021-02-13,Health & Fitness,1831.36,Expense,-1831.36
2021-02-16,Rent,1274.45,Expense,-1274.45
2021-02-18,Travel,1301.99,Expense,-1301.99
2021-02-19,Investment,804.0,Income,804.0
2021-02-20,Salary,241.08,Expense,-241.08
2021-02-21,Utilities,783.41,Expense,-783.41
2021-02-23,Shopping,1178.81,Expense,-1178.81
2021-02-24,Shopping,1313.29,Expense,-1313.29
2021-02-27,Shopping,1878.72,Expense,-1878.72
2021-02-28,Health & Fitness,442.37,Expense,-442.37
2021-03-02,Entertainment,1712.35,Expense,-1712.35
2021-03-02,Other,4960.0,Income,3466.7799999999997
2021-03-02,Health & Fitness,130.49,Expense,-130.49
2021-03-04,Rent,1898.53,Expense,-1898.53
2021-03-05,Rent,1328.91,Expense,-1328.91
2021-03-05,Food & Drink,110.65,Expense,-110.65
2021-03-07,Utilities,1576.09,Expense,-1576.09
2021-03-07,Entertainment,1176.9,Expense,-1176.9
2021-03-08,Entertainment,663.83,Expense,-663.83
2021-03-09,Investment,2771.0,Income,2771.0
2021-03-09,Utilities,1975.18,Expense,-1975.18
2021-03-10,Utilities,228.75,Expense,-228.75
2021-03-12,Utilities,39.57,Expense,-39.57
2021-03-15,Entertainment,1181.82,Expense,-1181.82
2021-03-15,Other,929.0,Income,929.0
2021-03-16,Other,4809.0,Income,3466.7799999999997
2021-03-16,Investment,4401.0,Income,3466.7799999999997
2021-03-17,Health & Fitness,1031.34,Expense,-1031.34
2021-03-17,Investment,855.0,Income,855.0
2021-03-18,Travel,921.5,Expense,-921.5
2021-03-19,Food & Drink,1997.19,Expense,-1997.19
2021-03-20,Shopping,1375.33,Expense,-1375.33
2021-03-21,Salary,156.25,Expense,-156.25
2021-03-22,Investment,1038.0,Income,1038.0
2021-03-22,Other,3620.0,Income,3466.7799999999997
2021-03-22,Travel,912.89,Expense,-912.89
2021-03-23,Rent,1588.26,Expense,-1588.26
2021-03-23,Investment,4023.0,Income,3466.7799999999997
2021-03-24,Entertainment,833.49,Expense,-833.49
2021-03-25,Shopping,837.82,Expense,-837.82
2021-03-26,Other,3060.0,Income,3060.0
2021-03-27,Health & Fitness,1907.65,Expense,-1907.65
2021-03-28,Salary,143.6,Expense,-143.6
2021-03-29,Rent,869.43,Expense,-869.43
2021-03-30,Health & Fitness,1625.42,Expense,-1625.42
2021-04-01,Health & Fitness,1343.33,Expense,-1343.33
2021-04-02,Shopping,1737.5,Expense,-1737.5
2021-04-03,Travel,1204.82,Expense,-1204.82
2021-04-03,Entertainment,317.91,Expense,-317.91
2021-04-03,Rent,706.73,Expense,-706.73
2021-04-08,Rent,1527.59,Expense,-1527.59
2021-04-08,Shopping,1691.86,Expense,-1691.86
2021-04-09,Food & Drink,1221.9,Expense,-1221.9
2021-04-11,Travel,67.62,Expense,-67.62
2021-04-11,Travel,1843.86,Expense,-1843.86
2021-04-12,Utilities,1741.03,Expense,-1741.03
2021-04-13,Shopping,148.47,Expense,-148.47
2021-04-18,Food & Drink,192.6,Expense,-192.6
2021-04-19,Shopping,845.47,Expense,-845.47
2021-04-19,Health & Fitness,630.16,Expense,-630.16
2021-04-19,Rent,1767.85,Expense,-1767.85
2021-04-19,Investment,1168.0,Income,1168.0
2021-04-21,Shopping,976.47,Expense,-976.47
2021-04-23,Travel,438.98,Expense,-438.98
2021-04-23,Health & Fitness,865.53,Expense,-865.53
2021-04-24,Salary,1058.6,Expense,-1058.6
2021-04-27,Entertainment,796.57,Expense,-796.57
2021-04-27,Food & Drink,416.8,Expense,-416.8
2021-04-27,Utilities,1530.68,Expense,-1530.68
2021-04-30,Rent,25.38,Expense,-25.38
2021-05-02,Utilities,267.08,Expense,-267.08
2021-05-04,Entertainment,1005.52,Expense,-1005.52
2021-05-04,Health & Fitness,153.43,Expense,-153.43
2021-05-06,Food & Drink,878.08,Expense,-878.08
2021-05-07,Rent,1725.6,Expense,-1725.6
2021-05-07,Shopping,1421.9,Expense,-1421.9
2021-05-07,Rent,816.01,Expense,-816.01
2021-05-10,Utilities,1604.63,Expense,-1604.63
2021-05-11,Health & Fitness,185.38,Expense,-185.38
2021-05-11,Entertainment,877.0,Expense,-877.0
2021-05-12,Rent,797.58,Expense,-797.58
2021-05-14,Health & Fitness,450.93,Expense,-450.93
2021-05-14,Rent,1025.86,Expense,-1025.86
2021-05-15,Investment,3362.0,Income,3362.0
2021-05-17,Utilities,480.18,Expense,-480.18
2021-05-19,Investment,1921.0,Income,1921.0
2021-05-22,Rent,362.52,Expense,-362.52
2021-05-23,Salary,933.27,Expense,-933.27
2021-05-24,Salary,1365.46,Expense,-1365.46
2021-05-24,Health & Fitness,1729.85,Expense,-1729.85
2021-05-24,Utilities,885.13,Expense,-885.13
2021-05-25,Travel,1594.7,Expense,-1594.7
2021-05-25,Health & Fitness,1019.6,Expense,-1019.6
2021-05-27,Salary,84.84,Expense,-84.84
2021-05-27,Travel,162.69,Expense,-162.69
2021-05-29,Rent,1233.87,Expense,-1233.87
2021-05-30,Salary,1164.86,Expense,-1164.86
2021-05-31,Food & Drink,904.97,Expense,-904.97
2021-05-31,Entertainment,649.84,Expense,-649.84
2021-06-02,Utilities,1915.87,Expense,-1915.87
2021-06-02,Health & Fitness,1964.95,Expense,-1964.95
2021-06-03,Investment,820.0,Income,820.0
2021-06-06,Salary,1982.06,Expense,-1982.06
2021-06-06,Utilities,734.16,Expense,-734.16
2021-06-06,Shopping,823.45,Expense,-823.45
2021-06-09,Food & Drink,1580.56,Expense,-1580.56
2021-06-11,Rent,666.08,Expense,-666.08
2021-06-11,Shopping,575.45,Expense,-575.45
2021-06-14,Utilities,673.39,Expense,-673.39
2021-06-15,Utilities,1834.33,Expense,-1834.33
2021-06-16,Shopping,266.61,Expense,-266.61
2021-06-20,Rent,626.07,Expense,-626.07
2021-06-20,Health & Fitness,1628.24,Expense,-1628.24
2021-06-22,Rent,1295.59,Expense,-1295.59
2021-06-23,Health & Fitness,46.28,Expense,-46.28
2021-06-24,Entertainment,690.05,Expense,-690.05
2021-06-26,Entertainment,460.82,Expense,-460.82
2021-06-27,Investment,2923.0,Income,2923.0
2021-06-28,Rent,1020.3,Expense,-1020.3
2021-06-28,Food & Drink,1327.24,Expense,-1327.24
2021-06-28,Utilities,1198.52,Expense,-1198.52
2021-06-28,Investment,1856.0,Income,1856.0
2021-06-29,Food & Drink,827.61,Expense,-827.61
2021-07-04,Entertainment,1939.48,Expense,-1939.48
2021-07-04,Salary,475.67,Expense,-475.67
2021-07-04,Salary,1808.91,Expense,-1808.91
2021-07-06,Other,4282.0,Income,3466.7799999999997
2021-07-07,Shopping,1010.78,Expense,-1010.78
2021-07-09,Utilities,1635.61,Expense,-1635.61
2021-07-09,Utilities,1747.27,Expense,-1747.27
2021-07-10,Other,3540.0,Income,3466.7799999999997
2021-07-10,Rent,1425.69,Expense,-1425.69
2021-07-11,Rent,577.28,Expense,-577.28
2021-07-11,Travel,904.15,Expense,-904.15
2021-07-11,Shopping,192.51,Expense,-192.51
2021-07-12,Salary,1770.41,Expense,-1770.41
2021-07-13,Shopping,115.98,Expense,-115.98
2021-07-14,Entertainment,778.47,Expense,-778.47
2021-07-15,Investment,730.0,Income,730.0
2021-07-19,Rent,1679.96,Expense,-1679.96
2021-07-19,Utilities,283.82,Expense,-283.82
2021-07-23,Salary,1395.18,Expense,-1395.18
2021-07-23,Other,4174.0,Income,3466.7799999999997
2021-07-24,Rent,47.82,Expense,-47.82
2021-07-28,Utilities,1102.12,Expense,-1102.12
2021-07-29,Shopping,231.26,Expense,-231.26
2021-08-02,Travel,252.48,Expense,-252.48
2021-08-06,Salary,134.99,Expense,-134.99
2021-08-07,Salary,1197.51,Expense,-1197.51
2021-08-07,Investment,1676.0,Income,1676.0
2021-08-08,Food & Drink,1233.47,Expense,-1233.47
2021-08-09,Shopping,382.75,Expense,-382.75
2021-08-11,Health & Fitness,144.68,Expense,-144.68
2021-08-13,Food & Drink,787.0,Expense,-787.0
2021-08-13,Shopping,1962.27,Expense,-1962.27
2021-08-15,Food & Drink,720.62,Expense,-720.62
2021-08-16,Investment,1349.0,Income,1349.0
2021-08-18,Health & Fitness,275.49,Expense,-275.49
2021-08-20,Health & Fitness,1628.88,Expense,-1628.88
2021-08-21,Other,4420.0,Income,3466.7799999999997
2021-08-21,Utilities,135.57,Expense,-135.57
2021-08-22,Salary,83.6,Expense,-83.6
2021-08-23,Entertainment,1772.72,Expense,-1772.72
2021-08-24,Travel,1035.61,Expense,-1035.61
2021-08-25,Salary,514.09,Expense,-514.09
2021-08-27,Entertainment,579.36,Expense,-579.36
2021-08-29,Food & Drink,1732.94,Expense,-1732.94
2021-09-05,Rent,1600.69,Expense,-1600.69
2021-09-06,Shopping,1489.18,Expense,-1489.18
2021-09-09,Shopping,684.68,Expense,-684.68
2021-09-09,Other,3509.0,Income,3466.7799999999997
2021-09-09,Travel,1604.28,Expense,-1604.28
2021-09-10,Rent,866.91,Expense,-866.91
2021-09-11,Utilities,1095.49,Expense,-1095.49
2021-09-11,Rent,662.56,Expense,-662.56
2021-09-11,Salary,1209.22,Expense,-1209.22
2021-09-11,Salary,709.58,Expense,-709.58
